PA001,Blanca Nieves,Caricaturas,72,4,Ni�os,0,0,,
SB001,EL Senor de los Cielos,,43,5,,1,1,Todo Inicia,
DC001,El Cosmos,,430,4,,1,1,Nacimiento,El Universo
DC002,El cosmos,,43,4,,1,2,Sigue,El Universo
PA002,Cenicienta,Cari,45,4,ninos,0,0,,
SC002,El Senor de los Cielos,,45,5,,1,2,Rutila,
DA003,El cosmos,,9,4,,1,3,Big Ban,Cosmos
SC003,El senor de los cielos,,43,1,,1,4,Nada,
PA010,Hercules,Caricaturas,75,3,Ni�os,0,0,,
SB010,El Senor de los Cielos,,45,5,,5,950,Matan a .....,
DC032,El cosmos,,43,4,,1,2,Sigue,El Universo
PA999,hsda,2dsja,13,2,jdkj,,,,,
DA666,shadj,,23,3,,,,,sad,
